StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600061.SH,国投资本,-0.87082728592162,0.95223144396027,2553044757.0,378533129.0,0.08,0.3016157989228,27253420.82,0.00729762,3227931498.32,95632835.81,6.7820833333333,-0.089268700356516,100.48323438828,17490804182.6,21.426850931778,1.0502431272442,1.0529572397589,1.5815110172461,30770806.16,-5.315339060246,0.50237777049098,-6.8212824010914,25.010727776631,6.7820833333333,0.8769579565518,14.919090271901,-0.38624055194463,85.015405140812,40.0,-152339436.96036,6,1,6,1,1.0248901903368
600066.SH,宇通客车,3.0990173847317,1.3971595200511,4145272516.0,306814064.0,0.25,0.31606557377049,17507629.4,0.93976339,1678853848.55,1600536823.56,13.533854166667,0.087617216754241,98.591072657219,27635892655.83,33.584816897597,1.408165033994,1.0509146047334,6.6565737075038,6615810563.08,1.1617771993735,0.75831072104819,5.2469135802469,24.892856809465,13.533854166667,2.2686929468057,39.779253577325,1.6797159105204,108.24943700658,46.0,26690982.361307,8,1,5,1,-1.3196480938416
600085.SH,同仁堂,-6.2614092734575,1.2171212558802,6895579562.0,134939182.0,3.53,0.46809395136146,7586021.43,0.64711612,1813634616.24,256105471.28,51.41375,-0.76166091527472,100.12160932744,18193524160.24,34.47571926642,1.1786516485647,0.68618312543097,11.519025829926,8578750225.47,1.1226283170623,1.3224017074896,-13.098663056355,25.377951394783,51.41375,5.5012030204259,49.392916113273,3.055022342085,103.02419202247,49.0,-19580723.539853,2,0,8,1,3.5053554040896
600089.SH,特变电工,-5.6005398110661,0.62844792270941,6321967937.0,442431638.0,0.25,0.13676731793961,32364862.47,0.56925364,14180541758.71,1307473375.6,14.153333333333,-0.24011091634604,100.43711907354,99322299597.79,30.891646159324,1.4489129190264,1.3284949458374,12.881156418637,33098926111.87,0.6620612368259,2.8065219840759,-37.516748548459,26.283307772592,14.153333333333,1.1880155956933,4.4505028490045,0.037420795377276,79.54337226039,41.0,-200162866.77531,3,0,5,1,-0.4288777698356
600104.SH,上汽集团,-1.8918918918919,0.52963025426506,4934237712.0,331339576.0,0.43,0.30777777777778,19753058.81,0.7486128,14875634350.71,17613061200.94,14.8415625,-0.0070965932677769,93.297903724215,739995863955.78,19.506606223245,1.1126091209257,0.96079621575251,3.1047695151932,70682594037.15,-4.7570259400075,1.2732215125282,7.6352853965901,26.509681636349,14.8415625,0.59336333581665,10.525412528554,-0.30683797116761,113.68747327329,48.0,48685768.012345,5,1,7,1,2.4793388429752
600111.SH,北方稀土,-4.0844424047728,0.93153371518538,7589247164.0,362310568.0,0.32,0.1745406824147,23423575.19,0.90176815,2732718934.46,244844353.02,20.9325,-0.42584300981716,100.18843163099,34185101545.14,36.653829658421,1.9872941551124,1.7104318270492,8.2113884807527,5318021786.65,-0.057866241250607,0.75592507962404,-12.807676261994,27.351048541793,20.9325,3.6518162637107,12.626893083052,0.75885872290891,86.317808406609,37.0,10421526.480874,4,0,2,0,-5.0717703349282
600115.SH,中国东航,-0.90909090909091,0.50220308702377,2826715208.0,672477263.0,0.06,0.16828478964401,49969422.91,0.33604016,-11877000000.0,317000000.0,4.2334375,-0.049530574155068,,95799000000.0,26.317061952929,0.74773330818416,0.77671095195851,-3.3084103534951,-3432000000.0,-0.45973099715482,-0.53280884594144,-4.5951859956236,25.775948287292,4.2334375,3.6813019599712,-2.5996376463168,,86.402416711481,42.0,-411808362.63486,6,1,3,0,-3.6697247706422
600150.SH,中国船舶,-7.2401433691756,1.6106623641837,16047351543.0,607192148.0,0.94,0.34596888260255,60882782.68,0.41197206,1268084671.55,3153165198.87,26.049479166667,-0.65809638797009,7.7564665097408,70661789614.68,38.814809870936,0.9625690332825,1.173888696723,0.80192270139432,6100413663.44,-0.029806243062352,0.28353378894672,-10.542689249914,24.474337185426,26.049479166667,2.4073097692999,673.44119040876,-34.331546522305,90.275219107453,44.0,-81573941.624193,2,0,8,1,6.8006182380216
600160.SH,巨化股份,-0.45992115637319,0.78568508438687,2468641313.0,167916832.0,0.29,0.50117096018735,19231544.29,0.93623701,1428622653.0,999238953.27,14.6959375,-0.22281340877636,102.00287229804,21124832559.78,37.297243932488,0.70285465806831,0.8048776065806,7.3065968113962,3085277790.6,-0.39309316574576,0.52916926634479,14.512471655329,24.16414939042,14.6959375,2.6366630592282,17.180070348697,0.14984046620055,129.5336646475,49.0,42193110.26121,6,1,8,1,4.8844884488449
600161.SH,天坛生物,12.563402262973,1.2742669410736,4850748600.0,178039193.0,0.57,0.35924462011419,6946857.75,0.39047015,1167571215.37,99241429.38,27.488333333333,0.75582617505797,100.27543457132,5370691914.08,34.696443239022,0.75349457322564,0.8720944747108,12.630670129193,2667497250.17,0.39156375753422,0.70855956859378,8.9501510574018,26.297202620595,27.488333333333,4.9516239660418,53.958842505989,3.3887285994672,118.14163219166,45.0,31560530.384508,9,1,9,1,11.022530329289
600176.SH,中国巨石,-14.296296296296,0.84368483130688,4068574682.0,329762021.0,0.2,0.15350389321468,14922031.9,0.30096676,3766629333.98,544016752.45,12.074895833333,-0.63347996645696,101.05334623906,15515361462.12,25.901978601719,1.6004772110609,1.2090434375198,8.9131892437709,4631216505.95,0.085041140850585,0.94091948137426,-13.072877535687,26.563944508209,12.074895833333,1.6348898264422,7.0069864521592,0.72636923661697,84.849350281813,44.0,-41382876.839558,0,0,3,0,-4.3215211754538
600183.SH,生益科技,14.518229166667,2.0269486637523,6542798295.0,393665257.0,0.45,0.56161806208843,18305891.66,0.67169754,1233073658.53,854712598.23,16.8265625,0.49452816364202,100.88669808342,16685756564.56,30.033523851751,1.157283981215,1.1360826104454,5.7100383223328,3368970769.31,0.0055963650521431,0.52433939694786,15.952537903757,27.093512400817,16.8265625,3.0253819308563,27.022581599719,-0.58869595036356,124.91370499617,47.0,136620759.04789,9,1,4,0,-2.6151222285389
600188.SH,兖矿能源,-3.6049382716049,2.4655288393415,9337968172.0,466688814.0,0.65,0.56434911242604,29031169.31,0.5265905,17117037000.0,2390486000.0,19.7796875,-0.081983600011043,98.764652578917,166747700000.0,52.150858874964,0.73535168194678,1.1979421706422,12.833375149563,55392873000.0,-2.7349660887101,2.3000461357325,-27.730470196224,24.011877134301,19.7796875,2.7803498721347,4.7205587792397,0.052878199566379,156.52750206686,54.0,256743095.06047,4,0,8,1,5.2766393442623
600196.SH,复星医药,-0.55944055944056,1.0672322545275,6315848809.0,223412040.0,0.72,0.28709159078736,11248428.38,0.40008923,3577671317.55,4594550646.93,28.1003125,-0.13698308963293,98.71661941883,43028896375.85,39.756572904904,0.720750483343,1.3415565514003,4.98669615037,20992173210.89,-0.22866442024248,1.3386842102637,-7.0588235294118,26.805534231895,28.1003125,1.6552207041178,20.372737470851,-0.96041570280207,91.127226846869,47.0,-30203981.7699,6,1,4,0,-1.8987341772152
600219.SH,南山铝业,-1.2738853503185,0.66640575737593,2053915036.0,674483060.0,0.05,0.21348314606742,46249128.34,0.44051111,2808779224.6,1174962354.49,3.0545833333333,-0.035280638391423,100.08090826651,30113123216.43,31.510021168683,1.7175070812101,1.7351676034537,5.367564301063,6390318321.49,0.31592671511679,0.23989123686449,2.3102310231023,25.108968308269,3.0545833333333,0.76907127793859,10.324641088759,3.3635643415616,99.111122738941,41.0,17519630.540617,5,1,1,0,-7.0967741935484
600233.SH,圆通速递,-9.647371922821,0.65321462852622,2353046700.0,170148741.0,0.19,0.28222996515679,9912222.88,1.40061234,3807098332.34,37484879.43,13.715,-0.35034024612849,101.09283794412,55473555890.76,35.99077474207,0.61894443624055,1.0900646448962,11.915782826628,5876403903.66,0.80653328742714,1.1059991227234,-13.392857142857,25.728355527606,13.715,1.6523686003671,11.925845455801,0.13811268382126,82.250611750129,41.0,-45534047.552059,1,0,3,0,-3.1664212076583
600276.SH,恒瑞医药,6.675567423231,0.79589611081797,23610865931.0,526064394.0,2.2,0.45841952834092,37142263.58,0.53809891,4206693687.13,5114509002.44,45.164479166667,0.66493634895675,103.63987079182,22343597457.83,34.826407985352,1.1717350479904,1.1767136326269,9.0215533823515,18868152553.96,0.25481149392517,0.65945950580327,4.3762246897453,25.479826782845,45.164479166667,7.7152694694376,78.286108409103,-5.6843343783473,102.73138279676,48.0,-139228700.24512,8,1,6,1,0.16687526074261
